date,dist_m,mov_s,hr,intensity,load,name
2023-01-14,1210.00,224,140,,3,San Mateo Track Running
2023-01-14,5210.00,1207,173,102.0,35,San Mateo Track Running
2023-01-14,800.00,445,115,,3,San Mateo Track Running
2023-01-14,1505.49,385,149,,7,San Mateo Running
2023-01-13,7082.94,1818,148,78.1,31,San Mateo Running
2023-01-11,250.00,82,120,,1,San Mateo Track Running
2023-01-11,1940.00,533,138,,7,San Mateo Track Running
2023-01-10,1816.81,579,153,,11,Burlingame Running
2023-01-10,5281.08,1180,162,90.6,27,Burlingame Running
2023-01-10,1664.77,499,140,,7,Burlingame Running
2023-01-09,4008.37,1074,148,78.7,19,San Mateo Running
2023-01-05,11061.99,3301,148,75.9,55,San Mateo Running
2023-01-03,1762.58,610,154,82.7,12,Burlingame Running
2023-01-03,8521.20,1989,168,97.0,52,Burlingame Running
2023-01-03,1839.34,527,142,,8,Burlingame Running
2023-01-01,6818.49,2483,136,67.2,32,San Mateo Running
2023-05-31,12996.59,3554,154,83.3,70,San Mateo Running
2023-05-30,1831.67,549,161,,13,Burlingame Running
2023-05-30,5871.88,1225,151,81.8,23,Burlingame Running
2023-05-30,1759.13,513,134,,7,Burlingame Running
2023-05-28,12518.99,3275,167,96.6,85,San Mateo Running
2023-05-27,5010.39,1365,155,86.7,29,Alameda Running
2023-05-25,13879.10,3771,162,92.4,90,San Mateo Running
2023-05-24,13139.11,3431,162,90.2,80,San Mateo Running
2023-05-23,1085.09,358,155,,7,Burlingame Running
2023-05-23,1610.00,327,177,,11,Burlingame Track Running
2023-05-23,1620.00,313,133,,4,Burlingame Track Running
2023-05-23,1133.21,336,122,,3,Burlingame Running
2023-05-21,11211.05,3055,156,84.9,63,San Mateo Running
2023-05-18,13888.74,3716,157,86.8,80,San Mateo Running
2023-05-17,10017.79,2533,153,82.5,49,San Mateo Running
2023-05-15,867.79,402,153,,8,Santa Clara County Running
2023-05-15,3242.47,671,156,91.9,16,Santa Clara County Running
2023-05-15,864.95,345,129,,4,Santa Clara County Running
2023-05-13,4932.29,1415,145,78.0,24,San Francisco Running
2023-05-11,13769.67,3662,151,79.2,66,San Mateo Running
2023-05-10,8165.97,2067,148,77.5,35,San Mateo Running
2023-05-09,1767.16,562,163,,14,Burlingame Running
2023-05-09,4724.65,964,147,79.4,17,Burlingame Running
2023-05-09,1768.66,502,131,,6,Burlingame Running
2023-05-06,4843.87,1587,135,69.0,21,San Mateo Running
2023-05-04,13815.58,3814,160,87.7,84,San Mateo Running
2023-05-03,10018.97,2672,160,88.4,61,San Mateo Running
2023-05-01,2730.30,810,141,72.3,12,San Francisco Running
2023-04-29,5011.22,1521,149,77.5,26,Berkeley Running
2023-04-28,9066.85,2447,162,91.1,59,San Mateo Running
2023-04-27,4167.16,1134,141,68.8,16,San Mateo Running
2023-04-23,5062.64,1443,152,81.9,27,San Mateo Running
2023-04-23,1716.55,474,145,,8,San Mateo Running
2023-04-18,1816.02,545,144,,8,Burlingame Running
2023-04-18,2467.03,547,156,,11,Burlingame Running
2023-04-18,2588.91,602,120,54.1,5,Burlingame Running
2023-04-18,1754.42,554,129,,6,Burlingame Running
2023-04-17,3698.98,984,149,80.5,18,San Mateo Running
2023-04-16,9681.26,2536,170,101.4,74,San Mateo Running
2023-04-10,5264.47,1339,175,106.1,42,Santa Clara County Running
2023-04-10,873.64,233,144,,4,Santa Clara County Running
2023-04-07,5015.55,1849,118,51.2,14,San Mateo Running
2023-04-04,1821.33,561,154,,11,Burlingame Running
2023-04-04,2459.50,485,149,,9,Burlingame Running
2023-04-04,2159.42,524,125,,5,Burlingame Running
2023-04-04,1700.07,549,127,,6,Burlingame Running
2023-04-04,1059.46,288,119,,3,San Mateo Running
2023-04-03,6776.64,2354,148,74.6,39,San Mateo Running
2023-04-02,4227.84,3692,78,24.9,7,San Mateo Trail Running
2023-04-01,4458.91,3677,92,31.4,12,Contra Costa County Trail Running
2023-03-30,13756.05,3786,161,88.3,85,San Mateo Running
2023-03-28,1797.50,595,140,,9,Burlingame Running
2023-03-28,6318.23,1470,144,73.3,22,Burlingame Running
2023-03-28,1848.96,531,123,,5,Burlingame Running
2023-03-18,5050.08,1497,141,70.9,21,San Francisco Running
2023-03-16,13450.25,3712,163,91.8,89,San Mateo Running
2023-03-11,4970.76,1528,143,72.3,23,San Mateo Running
2023-03-09,10147.79,2810,144,72.4,43,San Mateo Running
2023-03-07,1836.00,561,155,,11,Burlingame Running
2023-03-07,3136.25,656,159,90.3,15,Burlingame Running
2023-03-07,2708.74,633,146,78.4,11,Burlingame Running
2023-03-07,1622.98,515,138,,7,Burlingame Running
2023-03-04,4850.71,1481,148,77.9,25,San Francisco Running
2023-08-29,1745.81,562,150,,10,Burlingame Running
2023-08-29,1801.57,349,170,,10,Burlingame Running
2023-08-29,4668.07,1021,173,104.5,31,Burlingame Running
2023-08-29,2420.75,699,133,67.9,9,Burlingame Running
2023-08-27,12877.81,3385,161,89.9,76,San Mateo Running
2023-08-26,4765.60,1331,152,80.5,24,Fremont Running
2023-08-25,7005.38,1969,147,77.0,33,San Mateo Running
2023-08-24,506.76,167,145,,3,Oakland Running
2023-08-24,5102.04,1073,152,114.3,39,Oakland Running
2023-08-24,866.89,225,141,,4,Oakland Running
2023-08-20,12395.51,3142,166,95.7,80,San Mateo Running
2023-08-19,5195.67,1771,129,61.5,19,San Francisco Running
2023-08-17,8676.81,2396,160,89.9,54,Burlingame Running
2023-08-16,9008.95,2281,159,88.8,50,San Mateo Running
2023-08-15,1827.46,601,148,77.4,10,Burlingame Running
2023-08-15,5801.69,1198,137,68.9,16,Burlingame Running
2023-08-15,2805.56,799,134,66.0,10,Burlingame Running
2023-08-13,12006.70,3120,169,99.0,85,San Mateo Running
2023-08-12,3287.79,1235,125,59.1,12,San Mateo County Running
2023-08-10,8097.26,2449,139,69.6,34,San Francisco Running
2023-08-08,1775.71,569,154,,12,Burlingame Running
2023-08-08,1555.50,325,172,,10,Burlingame Running
2023-08-08,5801.57,1232,154,85.4,25,Burlingame Running
2023-08-08,2683.76,714,134,66.1,9,Burlingame Running
2023-08-07,3348.96,670,151,83.0,13,Santa Clara County Running
2023-08-07,787.69,302,120,,3,Santa Clara County Running
2023-08-06,12878.10,3350,168,98.7,91,San Mateo Running
2023-08-03,8665.27,2393,150,80.3,43,Burlingame Running
2023-08-02,9402.11,2605,154,82.5,50,San Mateo Running
2023-08-01,1831.32,570,150,,10,Burlingame Running
2023-08-01,6411.08,1355,140,72.6,20,Burlingame Running
2023-08-01,1749.40,477,140,,7,Burlingame Running
2023-07-31,5459.27,2084,137,67.5,27,Fremont Running
2023-07-30,14930.10,3892,170,99.9,108,San Mateo Running
2023-07-29,4865.46,1499,144,75.9,24,Fremont Running
2023-07-27,8622.70,2368,158,88.8,52,Burlingame Running
2023-07-27,1114.87,317,134,,4,San Mateo Running
2023-07-25,2386.11,688,169,99.3,19,Burlingame Running
2023-07-25,5275.74,1122,159,89.4,25,Burlingame Running
2023-07-25,2757.41,744,139,72.3,11,Burlingame Running
2023-07-23,5079.59,1103,169,100.4,31,San Francisco Running
2023-07-22,3008.55,1128,133,64.4,13,San Mateo Running
2023-07-19,2950.00,629,165,95.4,16,San Francisco Track Running
2023-07-19,603.75,154,152,,3,San Francisco Running
2023-07-16,12505.46,3238,165,94.3,80,San Mateo Running
2023-07-15,4512.34,1042,144,74.3,16,San Francisco Running
2023-07-13,8211.00,2238,159,88.5,49,Burlingame Running
2023-07-12,9293.96,2374,157,87.4,51,San Francisco Running
2023-07-11,1183.98,392,144,,6,San Mateo Running
2023-07-11,4010.00,799,157,86.1,17,San Mateo Track Running
2023-07-11,370.07,83,126,,1,San Mateo Running
2023-07-11,1716.03,525,139,,8,Burlingame Running
2023-07-02,12267.80,3297,171,100.7,93,San Mateo Running
2023-07-01,4850.21,1324,161,90.1,30,Foster City Running
2023-06-27,1808.46,593,133,68.5,8,Burlingame Running
2023-06-27,3224.92,706,160,90.1,16,Burlingame Running
2023-06-27,970.86,283,129,,3,Burlingame Running
2023-06-25,12903.14,3426,166,96.1,88,San Mateo Running
2023-06-24,4857.08,1413,150,79.8,25,Santa Clara Running
2023-06-22,13867.14,3800,156,84.0,78,San Mateo Running
2023-06-20,1850.20,544,159,,12,Burlingame Running
2023-06-20,5200.25,1082,143,74.8,17,Burlingame Running
2023-06-20,1710.08,513,131,,6,Burlingame Running
2023-06-18,1001.26,418,134,,5,Foster City Running
2023-06-18,6646.34,1744,158,88.5,38,San Mateo Running
2023-06-17,4837.03,1378,143,74.0,21,Berkeley Running
2023-06-14,12961.17,3666,146,74.6,59,San Mateo Running
2023-06-13,1773.69,551,151,,10,Burlingame Running
2023-06-13,4784.36,942,156,90.8,22,Burlingame Running
2023-06-13,1723.31,467,142,,7,Burlingame Running
2023-06-12,15807.99,4320,160,88.1,96,San Mateo Running
2023-06-10,5011.09,1661,133,64.7,20,San Francisco Running
2023-06-06,4082.22,922,167,96.8,24,Burlingame Running
2023-06-06,1765.95,490,139,,7,Burlingame Running
2023-06-04,10129.48,2724,158,87.7,59,San Mateo Running
2023-06-03,5011.32,1577,160,89.2,35,Foster City Running
2023-06-03,5336.13,1321,154,81.7,26,San Mateo Running
2023-06-02,10307.10,2674,149,77.1,46,San Mateo Running
2023-11-30,8698.55,2371,159,89.4,53,Burlingame Running
2023-11-28,1772.79,650,142,73.1,10,Burlingame Running
2023-11-28,4748.33,1052,158,88.4,23,Burlingame Running
2023-11-28,1810.54,563,133,,7,Burlingame Running
2023-11-25,10156.97,3743,152,82.1,70,New York Running
2023-11-24,8631.58,2184,175,104.4,67,Orange Running
2023-11-16,8680.95,2458,156,83.7,49,Burlingame Running
2023-11-11,4871.93,1290,161,91.5,30,Santa Clara Running
2023-11-07,1436.63,449,152,,8,San Mateo Running
2023-11-07,7220.00,1565,169,100.3,44,San Mateo Track Running
2023-11-07,2193.28,657,127,60.7,7,Burlingame Running
2023-11-06,410.00,158,138,,2,Santa Clara County Track Running
2023-11-06,3590.00,796,154,84.3,16,Santa Clara County Track Running
2023-11-06,809.63,309,114,,2,Santa Clara County Running
2023-11-04,7334.84,3149,72,18.7,5,Mohave County Running
2023-10-31,1771.49,633,139,71.4,9,San Mateo Running
2023-10-31,5640.00,1155,139,71.9,17,San Mateo Track Running
2023-10-31,2115.21,637,139,68.5,9,Burlingame Running
2023-10-30,817.98,149,136,,2,Santa Clara County Running
2023-10-30,809.75,237,122,,2,Santa Clara County Running
2023-10-29,16117.78,4105,169,99.0,112,San Mateo Running
2023-10-28,4722.60,1118,167,98.3,30,San Mateo County Running
2023-10-26,8683.53,2406,150,80.1,43,Burlingame Running
2023-10-25,16119.45,4263,163,93.5,105,San Mateo Running
2023-10-21,4454.57,1173,157,89.3,26,San Mateo County Running
2023-10-20,6402.22,1750,150,80.4,32,San Mateo Running
2023-10-19,8687.50,2461,151,80.8,45,Burlingame Running
2023-10-17,2153.95,597,156,87.8,13,Burlingame Running
2023-10-17,7106.48,1575,160,91.8,37,Burlingame Running
2023-10-17,1810.18,551,128,,6,Burlingame Running
2023-10-15,16109.71,4285,169,98.2,115,San Mateo Running
2023-10-14,4229.75,1545,123,59.0,15,Fremont Running
2023-10-13,7009.15,1812,158,87.1,39,San Mateo Running
2023-10-12,8647.40,2514,148,78.0,43,Burlingame Running
2023-10-10,1665.59,510,137,,7,Burlingame Running
2023-10-10,4409.57,1044,163,92.6,25,Burlingame Running
2023-10-10,1640.94,384,126,,4,Burlingame Running
2023-10-10,2570.97,708,133,67.6,9,Burlingame Running
2023-10-08,16091.30,4087,166,94.7,102,San Mateo Running
2023-10-07,4648.70,1496,146,77.4,25,San Jose Running
2023-10-04,7600.81,2062,156,84.2,41,San Mateo Running
2023-10-03,1793.23,556,150,,10,Burlingame Running
2023-10-03,4924.65,986,153,86.9,21,Burlingame Running
2023-10-03,1829.50,514,136,,7,Burlingame Running
2023-10-01,16135.60,4276,168,98.3,115,San Mateo Running
2023-09-30,4193.72,1495,151,80.6,27,San Mateo Running
2023-09-30,542.01,162,122,,2,San Mateo Running
2023-09-29,7012.48,1828,147,77.9,31,San Mateo Running
2023-09-28,7552.00,2029,156,84.3,41,San Mateo Running
2023-09-25,1654.13,353,135,,5,Santa Clara County Running
2023-09-25,830.20,297,119,,3,Santa Clara County Running
2023-09-24,1334.02,523,144,,8,Foster City Running
2023-09-24,12878.72,3335,174,104.3,101,San Mateo Running
2023-09-22,8792.57,2361,155,85.8,49,San Mateo Running
2023-09-17,10067.36,3965,134,65.3,47,New York Running
2023-09-13,8821.58,2385,158,85.6,50,San Mateo Running
2023-09-12,1894.34,515,157,,11,Burlingame Running
2023-09-12,4747.18,945,150,82.0,18,Burlingame Running
2023-09-12,2746.56,782,141,69.5,11,Burlingame Running
2023-09-10,12512.65,3146,167,96.0,81,San Mateo Running
2023-09-09,6581.58,1789,148,77.7,30,San Francisco Running
2023-09-07,8721.35,2323,156,84.9,48,San Mateo Running
2023-09-06,6430.48,1721,147,77.7,29,San Mateo Running
2023-09-05,1791.15,525,155,,10,Burlingame Running
2023-09-05,6343.77,1316,144,75.5,21,Burlingame Running
2023-09-05,2390.13,671,129,61.1,7,Burlingame Running
2023-09-03,9754.68,3530,132,63.8,40,San Mateo Running
2023-09-02,2126.25,595,149,76.9,10,San Mateo Running
2023-09-02,2999.42,670,162,89.5,15,San Mateo Running
2023-09-02,1859.71,493,144,,8,San Mateo Running
2023-09-02,4830.36,1330,155,83.8,26,San Jose Running
2024-02-28,8851.43,2431,155,83.8,48,San Mateo Running
2024-02-25,6449.71,1689,163,95.7,43,San Mateo Running
2024-02-24,5043.57,1971,138,68.7,26,Redwood City Running
2024-02-22,777.74,453,137,67.5,10,San Mateo Running
2024-02-20,1769.38,556,155,,12,Burlingame Running
2024-02-20,5321.59,1116,146,76.0,18,Burlingame Running
2024-02-20,1749.05,536,150,,10,Burlingame Running
2024-02-19,1315.22,378,161,,9,San Mateo Running
2024-02-19,11060.17,2868,157,87.0,61,San Mateo Running
2024-02-17,5813.00,1678,160,89.1,37,Fremont Running
2024-02-13,1767.87,534,156,,11,Burlingame Running
2024-02-13,4783.98,953,151,82.0,18,Burlingame Running
2024-02-13,2643.93,760,154,83.6,15,Burlingame Running
2024-02-11,13705.32,3764,159,90.7,86,San Mateo Running
2024-02-10,2724.00,2327,101,39.8,11,Saratoga Trail Running
2024-02-10,4915.93,1542,147,77.9,26,Foster City Running
2024-02-09,10012.20,2537,160,90.4,59,San Mateo Running
2024-02-06,1787.47,693,140,71.1,10,Burlingame Running
2024-02-06,619.57,148,147,,3,Burlingame Running
2024-02-06,4255.72,933,174,105.7,29,Burlingame Running
2024-02-06,2365.35,763,145,75.2,12,Burlingame Running
2024-02-01,10009.66,2621,157,86.7,56,San Mateo Running
2024-01-30,1816.24,559,159,,12,Burlingame Running
2024-01-30,6663.16,1447,160,91.1,34,Burlingame Running
2024-01-30,2401.86,756,137,69.0,10,Burlingame Running
2024-01-28,2187.56,619,163,93.4,15,Foster City Running
2024-01-28,10010.60,2609,169,99.7,72,San Mateo Running
2024-01-27,4842.32,1172,169,100.7,33,Santa Clara Running
2024-01-26,5243.55,1510,149,78.2,26,San Mateo Running
2024-01-25,10010.34,2559,162,90.5,60,San Mateo Running
2024-01-24,10018.03,2630,165,93.7,66,San Mateo Running
2024-01-21,806.63,232,158,,5,San Mateo Running
2024-01-21,6446.29,1631,168,100.6,46,San Mateo Running
2024-01-20,5113.13,1726,142,73.6,26,Oakland Running
2024-01-17,10033.90,2686,160,90.7,62,San Mateo Running
2024-01-14,12898.01,3418,172,102.0,99,San Mateo Running
2024-01-13,4902.67,1847,137,68.4,24,Foster City Running
2024-01-11,10012.71,2597,166,95.6,67,San Mateo Running
2024-01-09,1691.20,526,158,,12,Burlingame Running
2024-01-09,5061.50,1098,163,93.6,27,Burlingame Running
2024-01-09,2553.63,753,146,78.8,13,Burlingame Running
2024-01-06,4856.92,1461,153,84.3,29,San Francisco Running
2023-12-31,5033.38,1250,155,84.1,25,Orange Running
2023-12-30,8650.58,2217,162,91.9,52,Orange Running
2023-12-29,8627.17,2191,169,100.1,61,Orange Running
2023-12-28,8603.91,2233,167,98.2,60,Orange Running
2023-12-27,8604.80,2254,166,97.8,60,Orange Running
2023-12-26,8647.46,2260,169,100.6,64,Orange Running
2023-12-25,8651.55,2495,161,90.6,57,Orange Running
2023-12-22,6245.84,2725,130,61.6,30,Maui County Running
2023-12-20,5980.93,2507,130,59.9,27,Maui County Running
2023-12-16,4843.56,1656,138,68.6,22,San Jose Running
2023-12-14,8737.31,2347,160,90.6,54,Burlingame Running
2023-12-12,1789.90,543,157,,11,Burlingame Running
2023-12-12,1702.05,344,173,,11,Burlingame Running
2023-12-12,1308.21,305,149,,6,Burlingame Running
2023-12-12,3972.28,866,152,84.0,17,Burlingame Running
2023-12-12,2824.31,784,149,80.2,14,Burlingame Running
2023-12-09,7022.69,2553,134,66.0,31,Chilliwack Running
2023-12-07,8717.72,2381,159,90.2,54,Burlingame Running
2023-12-05,1780.12,572,158,,12,Burlingame Running
2023-12-05,4790.20,950,162,93.1,23,Burlingame Running
2023-12-05,1787.03,505,142,,9,Burlingame Running
2023-12-02,5252.24,1415,167,96.9,37,Alameda County Running
2024-05-28,1846.21,578,156,81.2,11,Burlingame Running
2024-05-28,5724.90,1282,152,83.4,25,Burlingame Running
2024-05-28,1789.94,570,138,,8,Burlingame Running
2024-05-27,5202.97,1394,158,89.7,32,San Mateo Running
2024-05-25,4015.11,1040,168,100.5,30,San Mateo Running
2024-05-23,2508.01,709,156,87.2,15,San Mateo Running
2024-05-21,955.64,314,152,,6,Burlingame Running
2024-05-21,1632.75,339,171,,10,Burlingame Running
2024-05-21,1592.09,352,148,,6,Burlingame Running
2024-05-21,935.45,291,142,,5,Burlingame Running
2024-05-18,4747.91,1758,142,73.2,27,Contra Costa County Running
2024-05-11,5397.42,1886,153,77.2,35,Oakland Running
2024-05-07,4801.19,1091,154,86.3,23,Burlingame Running
2024-05-07,1801.82,545,143,,10,Burlingame Running
2024-04-20,4843.87,1406,152,84.5,28,Redwood City Running
2024-04-12,8171.40,2208,168,97.3,59,San Mateo Running
2024-04-11,8173.64,2329,166,94.2,59,San Mateo Running
2024-03-28,6366.07,1525,162,93.4,37,Burlingame Running
2024-03-26,1759.68,562,146,,9,Burlingame Running
2024-03-26,3949.61,820,143,75.0,13,Burlingame Running
2024-03-26,1802.49,514,143,,8,Burlingame Running
2024-03-19,1827.86,546,158,,12,Burlingame Running
2024-03-19,5387.52,1221,145,76.4,20,Burlingame Running
2024-03-19,1766.38,536,136,,7,Burlingame Running
2024-03-17,6759.00,1756,164,95.8,46,San Mateo Running
2024-03-12,1067.85,349,153,,7,Burlingame Running
2024-03-12,5542.02,1175,139,69.8,16,Burlingame Running
2024-03-12,1737.46,503,130,,6,Burlingame Running
2024-03-09,5007.73,1710,139,69.6,23,San Francisco Running
2024-03-07,10010.15,2645,162,90.2,61,San Mateo Running
2024-03-05,1787.34,615,151,80.2,11,Burlingame Running
2024-03-05,5728.23,1209,154,84.3,24,Burlingame Running
2024-03-05,2544.33,704,146,75.0,11,Burlingame Running
2024-03-01,5765.49,2717,122,55.3,24,Portland Running
2024-12-31,5010.00,1379,178,109.5,46,San Mateo Track Running
2024-12-29,3672.03,1040,171,101.6,30,San Mateo Running
2024-12-27,3092.77,849,167,93.2,23,San Mateo Running
2024-12-25,2244.87,602,166,94.9,16,San Mateo Running
2024-12-22,2843.86,1082,141,72.4,16,San Mateo Running
2024-12-21,2810.00,758,160,92.3,18,San Mateo Track Running
2024-12-19,1138.62,353,141,,5,San Mateo Running
2024-12-18,2453.61,692,163,92.8,17,San Mateo Running
2024-12-15,2068.27,599,156,84.7,13,San Mateo Running
2024-12-13,2107.74,612,168,97.3,17,San Mateo Running
2024-12-11,1890.15,595,157,87.2,13,San Mateo Running
2024-12-08,2673.34,779,171,104.9,24,San Mateo Running
2024-12-07,1687.85,459,150,,9,San Mateo Running
2024-12-04,1620.00,493,148,,9,San Mateo Track Running
2024-12-03,1857.81,555,144,,8,San Mateo Running
2024-11-29,2010.00,614,167,96.7,16,San Mateo Track Running
2024-11-28,2010.00,634,175,103.7,19,San Mateo Track Running
2024-11-28,800.00,450,126,,4,San Mateo Track Running
2024-11-26,1104.76,403,142,,6,San Mateo Running
2024-11-23,1109.57,406,160,,9,San Mateo Running
2024-11-20,1008.74,402,150,,7,San Mateo Running
2024-11-18,1034.87,450,133,,5,San Mateo Running
2024-11-17,601.47,267,131,,3,San Mateo Running
2024-11-16,592.31,282,120,,3,San Mateo Running
2024-11-15,600.92,293,124,,3,San Mateo Running
2024-11-14,606.08,326,123,,3,San Mateo Running
2024-07-28,51.71,82,92,,0,San Mateo Running
2025-03-30,4970.18,2229,129,60.3,23,San Mateo Running
2025-03-24,2083.07,527,131,,6,San Mateo Running
2025-03-21,10027.96,2739,164,95.2,69,San Mateo County Running
2025-03-15,10018.84,2703,171,101.6,78,San Mateo Running
2025-03-11,10015.75,2747,172,103.1,82,San Mateo Running
2025-03-09,2416.55,647,149,76.5,12,San Mateo Running
2025-03-05,7324.38,1941,167,98.2,52,San Mateo Running
2025-03-03,9011.67,2619,162,90.7,61,San Mateo Running
2025-02-27,9015.57,2426,169,97.9,66,San Mateo Running
2025-02-25,9013.92,2495,167,95.3,64,San Mateo Running
2025-02-23,3310.87,855,165,96.2,22,San Mateo Running
2025-02-22,817.90,243,158,,5,San Mateo Running
2025-02-22,7320.94,1967,168,98.0,53,San Mateo Running
2025-02-18,9020.22,2535,163,91.8,60,San Mateo Running
2025-02-16,7501.07,2076,162,90.7,49,San Mateo Running
2025-02-14,7402.95,1978,168,100.9,56,San Mateo Running
2025-02-11,8128.03,2237,169,97.9,60,San Mateo Running
2025-02-09,6502.42,1740,154,83.8,34,San Mateo Running
2025-02-07,7011.07,1901,174,102.6,57,San Mateo Running
2025-02-04,8059.35,2213,146,74.7,35,San Mateo Running
2025-02-01,7306.70,2010,173,101.0,60,San Mateo Running
2025-01-30,5052.20,1691,141,70.4,24,Burlingame Running
2025-01-27,7012.77,1963,172,102.2,57,San Mateo Running
2025-01-25,4075.80,1116,128,58.8,11,San Mateo Running
2025-01-23,6544.46,1825,168,95.5,48,San Mateo Running
2025-01-21,6517.37,1861,164,94.0,46,San Mateo Running
2025-01-18,5534.28,1534,173,102.8,45,San Mateo Running
2025-01-16,3246.29,892,160,91.7,21,San Mateo Running
2025-01-15,4540.47,1294,152,80.3,24,San Mateo Running
2025-01-13,3000.00,898,156,83.4,18,Treadmill Running
2025-01-12,4020.03,1114,167,97.6,30,San Mateo Running
2025-01-08,4210.04,1186,168,97.1,32,San Mateo Running
2025-01-05,3293.13,919,171,102.8,27,San Mateo Running
2025-07-03,8687.52,2558,167,96.5,67,Burlingame Running
2025-07-01,5012.97,1420,153,83.0,28,San Mateo Running
2025-06-28,7518.28,2041,168,96.9,54,San Mateo Running
2025-06-26,10012.18,2780,169,97.8,74,San Mateo Running
2025-06-25,4218.29,1139,160,89.9,26,San Mateo Running
2025-06-22,10016.07,2857,164,92.7,69,Chilliwack Running
2025-06-21,661.57,185,128,,2,Chilliwack Running
2025-06-19,9013.32,2496,165,93.2,62,San Mateo Running
2025-06-17,5010.95,1331,165,93.7,34,San Mateo Running
2025-06-16,6453.16,1762,168,97.9,47,San Mateo Running
2025-06-13,5013.01,1382,168,97.2,37,San Mateo Running
2025-06-12,5018.81,1363,168,97.1,37,San Mateo Running
2025-06-09,5012.69,1411,164,93.5,35,San Mateo Running
2025-06-08,3355.55,1097,152,83.1,22,San Mateo Running
2025-06-07,4946.16,1987,143,72.1,30,San Mateo Running
2025-05-28,6018.80,1756,166,96.9,46,Chilliwack Running
2025-05-14,5052.91,1402,166,94.8,36,San Mateo Running
2025-05-09,1305.59,525,123,,5,San Mateo Running
2025-05-08,2582.94,751,149,76.2,13,San Mateo Running
2025-05-06,8078.29,2126,168,97.5,57,San Mateo Running
2025-05-05,3749.38,1536,128,60.4,16,San Mateo Running
2025-05-04,5679.93,1525,167,96.0,40,San Mateo Running
2025-04-28,13041.17,3569,166,94.8,92,San Mateo Running
2025-04-26,2189.73,691,145,72.6,11,San Mateo Running
2025-04-26,9248.68,2464,166,94.9,63,San Mateo Running
2025-04-22,13037.59,3570,166,95.4,91,San Mateo Running
2025-04-19,12089.65,3247,163,94.0,81,San Mateo Running
2025-04-17,8018.16,2180,164,93.6,54,Menlo Park Running
2025-04-15,1060.32,346,131,,4,Burlingame Running
2025-04-15,791.77,169,153,,4,Burlingame Running
2025-04-15,949.33,198,156,,4,Burlingame Running
2025-04-15,2792.39,842,151,80.0,15,Burlingame Running
2025-04-13,2865.79,868,171,98.7,24,Foster City Running
2025-04-10,4699.67,1600,147,76.4,26,Menlo Park Running
2025-04-09,11356.60,3206,167,97.9,86,San Mateo Running
2025-04-06,5749.48,2004,145,74.1,32,San Mateo Running
2025-04-03,4073.09,1126,152,83.7,22,San Mateo Running
2025-09-30,1773.67,654,137,65.8,8,Burlingame Running
2025-09-30,4786.99,1133,155,85.1,23,Burlingame Running
2025-09-30,2612.17,848,140,68.0,11,Burlingame Running
2025-09-28,1205.98,432,144,,6,San Mateo Running
2025-09-28,5020.00,1179,176,106.3,37,San Mateo Track Running
2025-09-28,1600.00,577,138,,7,San Mateo Track Running
2025-09-27,5015.49,1420,153,81.3,27,San Mateo Running
2025-09-25,8167.62,3409,140,67.3,43,Redwood City Running
2025-09-25,3163.05,1058,137,66.7,14,San Mateo Running
2025-09-23,1831.00,675,146,72.9,10,Burlingame Running
2025-09-23,4523.47,1116,175,106.0,35,Burlingame Running
2025-09-23,1561.39,400,152,,8,Burlingame Running
2025-09-23,2375.64,779,142,70.1,11,Burlingame Running
2025-09-20,8108.27,2191,164,94.0,54,San Mateo Running
2025-09-19,8067.41,3495,133,60.9,36,Redwood City Running
2025-09-16,7721.39,1800,174,104.7,55,Burlingame Running
2025-09-16,2773.83,847,144,71.4,12,Burlingame Running
2025-09-14,15027.76,6028,129,58.4,58,Alameda Running
2025-09-12,13129.39,3483,168,96.9,91,Redwood City Running
2025-09-10,7842.61,3526,119,47.9,24,San Mateo Running
2025-09-09,1792.06,612,148,72.7,9,Burlingame Running
2025-09-09,6012.55,1275,152,81.9,24,Burlingame Running
2025-09-09,2618.67,792,142,69.9,11,Burlingame Running
2025-09-06,10031.56,3448,154,81.1,63,Redwood City Running
2025-09-05,8144.77,3429,147,73.3,52,Redwood City Running
2025-09-05,7482.07,2263,161,85.8,51,San Mateo Running
2025-09-03,8428.76,2224,170,99.1,61,Redwood City Running
2025-09-01,16371.09,6550,134,62.5,72,Pacifica Running
2025-08-30,8067.65,2162,173,103.2,64,Redwood City Running
2025-08-24,14286.73,5486,136,64.7,65,Pacifica Running
2025-08-23,1582.29,491,161,,11,Redwood City Running
2025-08-23,6474.44,1593,177,108.3,52,Redwood City Running
2025-08-22,4896.35,1374,167,96.1,37,San Mateo Running
2025-08-21,4866.98,1424,162,90.4,34,San Mateo Running
2025-08-20,4072.31,1418,140,69.0,20,San Mateo Running
2025-08-19,1549.85,530,145,,8,Hillingdon Running
2025-08-18,1188.47,340,139,,4,Hillingdon Running
2025-07-31,8062.54,2118,161,95.1,54,San Mateo Running
2025-07-27,3751.89,1018,158,88.0,22,San Mateo Running
2025-07-25,16113.16,4543,167,94.4,115,San Mateo Running
2025-07-23,7013.32,1867,170,100.1,52,San Mateo Running
2025-07-17,13014.53,3555,168,96.5,95,San Mateo Running
2025-07-15,13014.24,3595,163,90.7,84,San Mateo Running
2025-07-12,12098.11,3375,168,96.9,91,San Mateo Running
2025-07-09,12089.93,3410,167,95.0,89,San Mateo Running
